id,year,statistic,Team,value
1,1901,Complete Games,Philadelphia,124
2,1901,ERA,Chicago,2.98
3,1901,Fewest Hits Allowed,Boston,"1,178"
4,1901,Fewest Home Runs Allowed,Philadelphia,20
5,1901,Fewest Walks Allowed,Washington,284
6,1901,Saves,Cleveland,4
7,1901,Saves,Milwaukee,4
8,1901,Shutouts,Chicago,11
9,1902,Complete Games,Washington,130
10,1902,ERA,Boston,3.02
11,1902,Fewest Hits Allowed,Cleveland,"1,199"
12,1902,Fewest Home Runs Allowed,Detroit,20
13,1902,Fewest Walks Allowed,Washington,312
14,1902,Saves,Cleveland,3
15,1902,Saves,Detroit,3
16,1902,Shutouts,Cleveland,16
17,1903,Complete Games,Cleveland,125
18,1903,ERA,Boston,2.57
19,1903,Fewest Hits Allowed,Philadelphia,"1,124"
20,1903,Fewest Home Runs Allowed,Cleveland,16
21,1903,Fewest Walks Allowed,St. Louis,237
22,1903,Saves,Boston,4
23,1903,Saves,Chicago,4
24,1903,Shutouts,Boston,20
25,1903,Shutouts,Cleveland,20
26,1904,Complete Games,Boston,148
27,1904,ERA,Boston,2.12
28,1904,Fewest Hits Allowed,Philadelphia,"1,149"
29,1904,Fewest Home Runs Allowed,Cleveland,10
30,1904,Fewest Walks Allowed,Boston,233
31,1904,Saves,Washington,4
32,1904,Shutouts,Chicago,26
33,1904,Shutouts,Philadelphia,26
34,1905,Complete Games,Cleveland,140
35,1905,ERA,Chicago,1.99
36,1905,Fewest Hits Allowed,Philadelphia,"1,137"
37,1905,Fewest Home Runs Allowed,Chicago,11
38,1905,Fewest Home Runs Allowed,Detroit,11
39,1905,Fewest Walks Allowed,Boston,292
40,1905,Saves,New York,4
41,1905,Shutouts,Philadelphia,19
42,1906,Complete Games,Cleveland,133
43,1906,Complete Games,St. Louis,133
44,1906,ERA,Cleveland,2.09
45,1906,Fewest Hits Allowed,St. Louis,"1,132"
46,1906,Fewest Home Runs Allowed,Philadelphia,9
47,1906,Fewest Walks Allowed,Chicago,255
48,1906,Saves,Boston,6
49,1906,Shutouts,Chicago,32
50,1907,Complete Games,St. Louis,129
51,1907,ERA,Chicago,2.22
52,1907,Fewest Hits Allowed,Philadelphia,"1,106"
53,1907,Fewest Home Runs Allowed,Cleveland,8
54,1907,Fewest Home Runs Allowed,Detroit,8
55,1907,Fewest Walks Allowed,Chicago,305
56,1907,Saves,Chicago,9
57,1907,Saves,St. Louis,9
58,1907,Shutouts,Philadelphia,27
59,1908,Complete Games,Detroit,119
60,1908,ERA,Cleveland,2.02
61,1908,Fewest Hits Allowed,St. Louis,"1,151"
62,1908,Fewest Home Runs Allowed,St. Louis,7
63,1908,Fewest Walks Allowed,Chicago,284
64,1908,Saves,Chicago,10
65,1908,Shutouts,Chicago,23
66,1908,Shutouts,Philadelphia,23
67,1909,Complete Games,Detroit,117
68,1909,ERA,Philadelphia,1.93
69,1909,Fewest Hits Allowed,Philadelphia,"1,069"
70,1909,Fewest Home Runs Allowed,Chicago,8
71,1909,Fewest Walks Allowed,Chicago,340
72,1909,Saves,Boston,15
73,1909,Shutouts,Philadelphia,27
74,1910,Complete Games,Philadelphia,123
75,1910,ERA,Philadelphia,1.79
76,1910,Fewest Hits Allowed,Philadelphia,"1,103"
77,1910,Fewest Home Runs Allowed,Philadelphia,8
78,1910,Fewest Walks Allowed,New York,364
79,1910,Saves,New York,8
80,1910,Shutouts,Philadelphia,24
81,1911,Complete Games,Detroit,108
82,1911,ERA,Boston,2.74
83,1911,Fewest Hits Allowed,Boston,"1,309"
84,1911,Fewest Home Runs Allowed,Cleveland,17
85,1911,Fewest Home Runs Allowed,Philadelphia,17
86,1911,Fewest Walks Allowed,Chicago,384
87,1911,Saves,Philadelphia,13
88,1911,Shutouts,Chicago,17
89,1912,Complete Games,Boston,108
90,1912,ERA,Washington,2.69
91,1912,Fewest Hits Allowed,Washington,"1,219"
92,1912,Fewest Home Runs Allowed,Philadelphia,12
93,1912,Fewest Walks Allowed,Boston,385
94,1912,Saves,Chicago,16
95,1912,Shutouts,Boston,18
96,1913,Complete Games,St. Louis,104
97,1913,ERA,Chicago,2.33
98,1913,Fewest Hits Allowed,Washington,"1,177"
99,1913,Fewest Home Runs Allowed,Boston,6
100,1913,Fewest Walks Allowed,Chicago,438
101,1913,Saves,Philadelphia,22
102,1913,Shutouts,Washington,23
103,1914,Complete Games,New York,98
104,1914,ERA,Boston,2.36
105,1914,Fewest Hits Allowed,Washington,"1,170"
106,1914,Fewest Home Runs Allowed,Cleveland,10
107,1914,Fewest Walks Allowed,New York,390
108,1914,Saves,Washington,20
109,1914,Shutouts,Washington,25
110,1915,Complete Games,New York,101
111,1915,ERA,Washington,2.31
112,1915,Fewest Hits Allowed,Washington,"1,161"
113,1915,Fewest Home Runs Allowed,Washington,12
114,1915,Fewest Walks Allowed,Chicago,350
115,1915,Saves,Detroit,20
116,1915,Shutouts,Washington,21
117,1916,Complete Games,Philadelphia,94
118,1916,ERA,Chicago,2.36
119,1916,Fewest Hits Allowed,Chicago,"1,189"
120,1916,Fewest Home Runs Allowed,Boston,10
121,1916,Fewest Walks Allowed,Chicago,405
122,1916,Saves,New York,17
123,1916,Shutouts,Boston,24
124,1917,Complete Games,Boston,115
125,1917,ERA,Chicago,2.16
126,1917,Fewest Hits Allowed,Boston,"1,197"
127,1917,Fewest Home Runs Allowed,Chicago,10
128,1917,Fewest Walks Allowed,Boston,413
129,1917,Fewest Walks Allowed,Chicago,413
130,1917,Saves,Cleveland,22
131,1917,Shutouts,Chicago,22
132,1918,Complete Games,Boston,105
133,1918,ERA,Washington,2.14
134,1918,Fewest Hits Allowed,Boston,931
